subset,label,rel_path,bytes,sha256
1mb,Cat,Cat/1639.jpg,81131,3f817ced4f5e29ed9c6bf2bc83f874933c5b6ec73696f0ad063f900bdb3cbf04
1mb,Dog,Dog/10557.jpg,37738,ef2aa32495f798a242d9c4caa10be8ccaa7a53117606b8fea2f5256c134fba47
1mb,Cat,Cat/9187.jpg,22173,ce05d0d485c3cdda74a7c7837e18db57b61310155d084d2c9d1c2de2316a19a5
1mb,Dog,Dog/5541.jpg,48976,b85a0a3a2dcad21c99316c1d44b21a23c195d8d723890c6ae5c4174a0429bd1f
1mb,Cat,Cat/4861.jpg,12660,7ef88b498d8e989387c7dc86ddaaf9db3692eeacaa203054291fe6ea8be50cc4
1mb,Dog,Dog/520.jpg,30335,5a6aa3fac51c70ec1d15e3d373083c363d7299b970ef6c1d9f378d33ea1fabf0
1mb,Cat,Cat/6284.jpg,49236,adc87dcbed3420e4a6a19475f5b4e52b6fc317d2592fb4efa202b022659d84ba
1mb,Dog,Dog/5404.jpg,24200,f7d52571d197fcc9fccf073f5fea23af8b459a0778b5d7752d41954cdd3c29f6
1mb,Cat,Cat/7116.jpg,22392,ca08453603548e9154716088caee229b80248d4ddde987ada01f8b8c59d6f1bc
1mb,Dog,Dog/6505.jpg,27569,03a00e7c94853f25cb195253c02fca2a31591ca9892108555b796a7bed3b110d
1mb,Cat,Cat/6437.jpg,38411,e4fa150586aca163aaab9130c6acd10d7085c488b49471578b086d28349f4585
1mb,Dog,Dog/1991.jpg,35835,36d0fb36293b352f1afa2a5e219e8de8336c3c4a141725c9eddc9f9b9340365e
1mb,Cat,Cat/11627.jpg,22317,dcc5483455e7d581d3db4ebfd971dc9a7662890cc64f0c87787f7e71b15ab141
1mb,Dog,Dog/3080.jpg,51451,d181df42b5ab1aa9d668eb88b513fd841c52a9f2bec86c95f08ff379b2b25177
1mb,Cat,Cat/1001.jpg,23764,f8c8a16a7d40555796b84a3712abf2e7326cd0e100ffe32135696fae5f8ee78f
1mb,Dog,Dog/6926.jpg,35568,b966ecfb2f3dd0f3c3015e0bb8a00f62dbe7c8ad6e3f39426dfdeba497e7703e
1mb,Cat,Cat/10009.jpg,21870,60b5eee3e8242c81d73d0aab368367697eb2f9eb3d369b7e3bfc844d850829f0
1mb,Dog,Dog/2420.jpg,10051,2af856a180c26a27a0f59776e8c1a76fe6795a272e9b639711bb4af20478aeb8
1mb,Cat,Cat/7306.jpg,45001,1f086298244b69947aa9a982ecaec114ad6d15b41e7590e6d35a1fa23e69e67e
1mb,Dog,Dog/9520.jpg,15974,375523dee18ebc198b739d7fc0eee27061f67a867233402be5c6205f9ee4f7b3
1mb,Cat,Cat/11019.jpg,38252,c7dabb3f1df2ee965c2ea3eef522708496ce00ec450d0d0f5549c132357cc3ae
1mb,Dog,Dog/5175.jpg,206473,f8cc017fc0d08909cc3329eaa13acd655ea6dfe41524f30cc23c17412e78cbd0
1mb,Cat,Cat/10861.jpg,30128,f0565602dc2901eee6d2e8a7c6b82ba0f1a6bf51c9978c5414799d2b58292cec
1mb,Dog,Dog/7638.jpg,76314,151b01c450e8b2d62aeeb8fcf30a61589864380f42ca323446beededdaba1af2
1mb,Cat,Cat/661.jpg,24719,f154826dffb09927f6d52fa7e709dfe71bffeb6aa1c23f7016cd1ddb41eb4521
1mb,Dog,Dog/9963.jpg,28815,2edc6f3da7fab2e0d8472493793f7ada4366e7298140c18e65a3ee170e443356
