subset,label,rel_path,bytes,sha256
10mb,Cat,Cat/1639.jpg,81131,3f817ced4f5e29ed9c6bf2bc83f874933c5b6ec73696f0ad063f900bdb3cbf04
10mb,Dog,Dog/10557.jpg,37738,ef2aa32495f798a242d9c4caa10be8ccaa7a53117606b8fea2f5256c134fba47
10mb,Cat,Cat/9187.jpg,22173,ce05d0d485c3cdda74a7c7837e18db57b61310155d084d2c9d1c2de2316a19a5
10mb,Dog,Dog/5541.jpg,48976,b85a0a3a2dcad21c99316c1d44b21a23c195d8d723890c6ae5c4174a0429bd1f
10mb,Cat,Cat/4861.jpg,12660,7ef88b498d8e989387c7dc86ddaaf9db3692eeacaa203054291fe6ea8be50cc4
10mb,Dog,Dog/520.jpg,30335,5a6aa3fac51c70ec1d15e3d373083c363d7299b970ef6c1d9f378d33ea1fabf0
10mb,Cat,Cat/6284.jpg,49236,adc87dcbed3420e4a6a19475f5b4e52b6fc317d2592fb4efa202b022659d84ba
10mb,Dog,Dog/5404.jpg,24200,f7d52571d197fcc9fccf073f5fea23af8b459a0778b5d7752d41954cdd3c29f6
10mb,Cat,Cat/7116.jpg,22392,ca08453603548e9154716088caee229b80248d4ddde987ada01f8b8c59d6f1bc
10mb,Dog,Dog/6505.jpg,27569,03a00e7c94853f25cb195253c02fca2a31591ca9892108555b796a7bed3b110d
10mb,Cat,Cat/6437.jpg,38411,e4fa150586aca163aaab9130c6acd10d7085c488b49471578b086d28349f4585
10mb,Dog,Dog/1991.jpg,35835,36d0fb36293b352f1afa2a5e219e8de8336c3c4a141725c9eddc9f9b9340365e
10mb,Cat,Cat/11627.jpg,22317,dcc5483455e7d581d3db4ebfd971dc9a7662890cc64f0c87787f7e71b15ab141
10mb,Dog,Dog/3080.jpg,51451,d181df42b5ab1aa9d668eb88b513fd841c52a9f2bec86c95f08ff379b2b25177
10mb,Cat,Cat/1001.jpg,23764,f8c8a16a7d40555796b84a3712abf2e7326cd0e100ffe32135696fae5f8ee78f
10mb,Dog,Dog/6926.jpg,35568,b966ecfb2f3dd0f3c3015e0bb8a00f62dbe7c8ad6e3f39426dfdeba497e7703e
10mb,Cat,Cat/10009.jpg,21870,60b5eee3e8242c81d73d0aab368367697eb2f9eb3d369b7e3bfc844d850829f0
10mb,Dog,Dog/2420.jpg,10051,2af856a180c26a27a0f59776e8c1a76fe6795a272e9b639711bb4af20478aeb8
10mb,Cat,Cat/7306.jpg,45001,1f086298244b69947aa9a982ecaec114ad6d15b41e7590e6d35a1fa23e69e67e
10mb,Dog,Dog/9520.jpg,15974,375523dee18ebc198b739d7fc0eee27061f67a867233402be5c6205f9ee4f7b3
10mb,Cat,Cat/11019.jpg,38252,c7dabb3f1df2ee965c2ea3eef522708496ce00ec450d0d0f5549c132357cc3ae
10mb,Dog,Dog/5175.jpg,206473,f8cc017fc0d08909cc3329eaa13acd655ea6dfe41524f30cc23c17412e78cbd0
10mb,Cat,Cat/10861.jpg,30128,f0565602dc2901eee6d2e8a7c6b82ba0f1a6bf51c9978c5414799d2b58292cec
10mb,Dog,Dog/7638.jpg,76314,151b01c450e8b2d62aeeb8fcf30a61589864380f42ca323446beededdaba1af2
10mb,Cat,Cat/661.jpg,24719,f154826dffb09927f6d52fa7e709dfe71bffeb6aa1c23f7016cd1ddb41eb4521
10mb,Dog,Dog/9963.jpg,28815,2edc6f3da7fab2e0d8472493793f7ada4366e7298140c18e65a3ee170e443356
10mb,Cat,Cat/7796.jpg,8083,d85df1993b6c658ee08a047288c96e6bdbfdcef0334892a920842b5c82a29824
10mb,Dog,Dog/7187.jpg,8687,04be4d68b3d5fba1d2516528805a01f77588a71530d16bb39e9f943b013317e6
10mb,Cat,Cat/6296.jpg,32438,5c594a1d2c5233984f4400dfd9234be5c85cfa5a8e5ea2c7fd9918d91feeb8d9
10mb,Dog,Dog/9048.jpg,15025,47dfc79f98884e500f5debc9c17fd00ab87d69846766cc87e5c520b676059f03
10mb,Cat,Cat/6979.jpg,26723,99b2fb0de4256ddb44a0ecc2b7bd9b6449b7191f8c5c35135ebf0728c7cb7d42
10mb,Dog,Dog/7635.jpg,28736,f47235dd535e3a88fe76acc858dba18ac5c7a049c34b158880f000de2fc629a7
10mb,Cat,Cat/1100.jpg,26452,ee6176c8c146fed30b7bde5bd21cd6398466e5a2dca2936a0db8eee30fbaf81b
10mb,Dog,Dog/2039.jpg,45941,43bd04b75f88c7b418629edb7d57b94eceb53eae256e3461c494a8907e4c2f02
10mb,Cat,Cat/1999.jpg,24432,8d162bcdd8cbead0e0f8db41817307bad6349f0b018c2f11eab00d4fca68ffca
